## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics  --CHART_OUTPUT WR025V9ER.gc_bias_metrics.pdf --SUMMARY_OUTPUT WR025V9ER.summary_metrics.txt --IS_BISULFITE_SEQUENCED true --ALSO_IGNORE_DUPLICATES true --INPUT WR025V9ER.sorted.bam --OUTPUT WR025V9ER.gc_bias_metrics.txt --REFERENCE_SEQUENCE grch38p13_lambda_puc.fa  --SCAN_WINDOW_SIZE 100 --MINIMUM_GENOME_FRACTION 1.0E-5 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 23 18:38:03 AEDT 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	81	508396	26978	7	0.621546	0.003784			
All Reads	ALL	82	426951	21629	7	0.593368	0.004035			
All Reads	ALL	83	351300	17134	7	0.571276	0.004364			
All Reads	ALL	84	272651	13225	7	0.568138	0.00494			
All Reads	ALL	85	197877	10025	7	0.59341	0.005927			
All Reads	ALL	86	132088	7042	7	0.624451	0.007441			
All Reads	ALL	87	86165	5422	7	0.737045	0.01001			
All Reads	ALL	88	59409	3485	7	0.687094	0.011639			
All Reads	ALL	89	38378	2194	6	0.669607	0.014296			
All Reads	ALL	90	25093	1485	6	0.69317	0.017988			
All Reads	ALL	91	16061	1001	6	0.730007	0.023073			
All Reads	ALL	92	9569	643	6	0.787064	0.031039			
All Reads	ALL	93	6011	498	6	0.970394	0.043484			
All Reads	ALL	94	3424	225	6	0.769687	0.051312			
All Reads	ALL	95	1675	63	5	0.440546	0.055504			
All Reads	ALL	96	986	20	6	0.237585	0.053126			
All Reads	ALL	97	658	10	6	0.178008	0.056291			
All Reads	ALL	98	328	5	9	0.178551	0.07985			
All Reads	ALL	99	133	1	2	0.088067	0.088067			
All Reads	ALL	100	339	8	8	0.276411	0.097726			
All Reads	UNIQUE	0	133597	1081	17	0.094775	0.002883			
All Reads	UNIQUE	1	97008	1234	17	0.148996	0.004241			
