## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics  --CHART_OUTPUT WR069V9WR.gc_bias_metrics.pdf --SUMMARY_OUTPUT WR069V9WR.summary_metrics.txt --IS_BISULFITE_SEQUENCED true --ALSO_IGNORE_DUPLICATES true --INPUT WR069V9WR.sorted.bam --OUTPUT WR069V9WR.gc_bias_metrics.txt --REFERENCE_SEQUENCE grch38p13_lambda_puc.fa  --SCAN_WINDOW_SIZE 100 --MINIMUM_GENOME_FRACTION 1.0E-5 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 23 18:38:03 AEDT 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	81	508396	12304	7	0.277665	0.002503			
All Reads	ALL	82	426951	9385	7	0.252193	0.002603			
All Reads	ALL	83	351300	7121	7	0.232563	0.002756			
All Reads	ALL	84	272651	4934	7	0.20762	0.002956			
All Reads	ALL	85	197877	3632	7	0.210585	0.003494			
All Reads	ALL	86	132088	2359	7	0.2049	0.004219			
All Reads	ALL	87	86165	1529	7	0.203589	0.005207			
All Reads	ALL	88	59409	1003	7	0.193698	0.006116			
All Reads	ALL	89	38378	622	6	0.185945	0.007456			
All Reads	ALL	90	25093	388	7	0.177401	0.009006			
All Reads	ALL	91	16061	229	6	0.163584	0.01081			
All Reads	ALL	92	9569	141	7	0.169056	0.014237			
All Reads	ALL	93	6011	68	6	0.129789	0.015739			
All Reads	ALL	94	3424	40	5	0.13403	0.021192			
All Reads	ALL	95	1675	20	6	0.136991	0.030632			
All Reads	ALL	96	986	6	5	0.069815	0.028502			
All Reads	ALL	97	658	3	7	0.052309	0.0302			
All Reads	ALL	98	328	0	0	0	0			
All Reads	ALL	99	133	2	2	0.172526	0.121995			
All Reads	ALL	100	339	0	0	0	0			
All Reads	UNIQUE	0	133597	2017	19	0.173215	0.003857			
All Reads	UNIQUE	1	97008	2122	19	0.250966	0.005448			
All Reads	UNIQUE	2	113086	2804	18	0.284476	0.005372			
All Reads	UNIQUE	3	144366	4099	18	0.325754	0.005088			
All Reads	UNIQUE	4	155756	5083	17	0.374414	0.005252			
All Reads	UNIQUE	5	158557	6148	17	0.444862	0.005674			
All Reads	UNIQUE	6	179950	7559	16	0.481936	0.005543			
All Reads	UNIQUE	7	193027	8942	16	0.531488	0.005621			
All Reads	UNIQUE	8	220121	11428	15	0.595643	0.005572			
All Reads	UNIQUE	9	248618	14145	15	0.652751	0.005488			
All Reads	UNIQUE	10	292957	18298	15	0.7166	0.005298			
All Reads	UNIQUE	11	357882	24266	14	0.777921	0.004994			
All Reads	UNIQUE	12	466805	33961	14	0.834684	0.004529			
All Reads	UNIQUE	13	615414	49368	14	0.920355	0.004142			
All Reads	UNIQUE	14	872191	74985	13	0.98637	0.003602			
