## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics  --CHART_OUTPUT WR025V1ER.gc_bias_metrics.pdf --SUMMARY_OUTPUT WR025V1ER.summary_metrics.txt --IS_BISULFITE_SEQUENCED true --ALSO_IGNORE_DUPLICATES true --INPUT WR025V1ER.sorted.bam --OUTPUT WR025V1ER.gc_bias_metrics.txt --REFERENCE_SEQUENCE grch38p13_lambda_puc.fa  --SCAN_WINDOW_SIZE 100 --MINIMUM_GENOME_FRACTION 1.0E-5 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 23 18:38:03 AEDT 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	UNIQUE	8	220121	9082	15	0.498669	0.005233			
All Reads	UNIQUE	9	248618	11705	14	0.569025	0.00526			
All Reads	UNIQUE	10	292957	15523	14	0.640419	0.00514			
All Reads	UNIQUE	11	357882	21089	14	0.71221	0.004904			
All Reads	UNIQUE	12	466805	29738	14	0.769961	0.004465			
All Reads	UNIQUE	13	615414	43289	13	0.850163	0.004086			
All Reads	UNIQUE	14	872191	66742	13	0.924868	0.00358			
All Reads	UNIQUE	15	1283430	103908	13	0.978518	0.003036			
All Reads	UNIQUE	16	1920373	162836	13	1.024842	0.00254			
All Reads	UNIQUE	17	2884097	253629	13	1.062873	0.00211			
All Reads	UNIQUE	18	4325188	388242	13	1.0849	0.001741			
All Reads	UNIQUE	19	6385214	580460	12	1.098725	0.001442			
All Reads	UNIQUE	20	9221940	842851	12	1.10464	0.001203			
All Reads	UNIQUE	21	12969991	1188973	12	1.107961	0.001016			
All Reads	UNIQUE	22	17709092	1619516	12	1.105302	0.000869			
All Reads	UNIQUE	23	23507823	2148867	12	1.104814	0.000754			
All Reads	UNIQUE	24	30341227	2756411	12	1.098002	0.000661			
All Reads	UNIQUE	25	38049062	3439099	12	1.092428	0.000589			
All Reads	UNIQUE	26	46340122	4170110	12	1.087633	0.000533			
All Reads	UNIQUE	27	55002303	4922159	11	1.081601	0.000488			
All Reads	UNIQUE	28	63744555	5684593	11	1.077826	0.000452			
All Reads	UNIQUE	29	72264669	6421970	11	1.074075	0.000424			
All Reads	UNIQUE	30	80384070	7103826	11	1.068106	0.000401			
All Reads	UNIQUE	31	87952661	7748007	11	1.064715	0.000383			
All Reads	UNIQUE	32	94822082	8317772	11	1.060205	0.000368			
All Reads	UNIQUE	33	100924868	8810201	11	1.055066	0.000355			
All Reads	UNIQUE	34	106336042	9197266	11	1.045371	0.000345			
All Reads	UNIQUE	35	110981640	9500604	11	1.034647	0.000336			
All Reads	UNIQUE	36	114741834	9676505	10	1.019269	0.000328			
All Reads	UNIQUE	37	116830335	9704016	10	1.003894	0.000322			
All Reads	UNIQUE	38	116865262	9572240	10	0.989966	0.00032			
All Reads	UNIQUE	39	115033283	9302533	10	0.977395	0.00032			
All Reads	UNIQUE	40	111474303	8931886	10	0.968413	0.000324			
All Reads	UNIQUE	41	106285838	8468468	10	0.96299	0.000331			
All Reads	UNIQUE	42	100115791	7989305	10	0.964492	0.000341			
All Reads	UNIQUE	43	93766613	7515494	10	0.968727	0.000353			
All Reads	UNIQUE	44	88114092	7097840	10	0.973583	0.000365			
All Reads	UNIQUE	45	83608187	6754177	10	0.976373	0.000376			
All Reads	UNIQUE	46	80190507	6466904	9	0.974688	0.000383			
