## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics  --CHART_OUTPUT WR025V9WR.gc_bias_metrics.pdf --SUMMARY_OUTPUT WR025V9WR.summary_metrics.txt --IS_BISULFITE_SEQUENCED true --ALSO_IGNORE_DUPLICATES true --INPUT WR025V9WR.sorted.bam --OUTPUT WR025V9WR.gc_bias_metrics.txt --REFERENCE_SEQUENCE grch38p13_lambda_puc.fa  --SCAN_WINDOW_SIZE 100 --MINIMUM_GENOME_FRACTION 1.0E-5 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 23 18:38:03 AEDT 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	81	508396	13154	7	0.297025	0.00259			
All Reads	ALL	82	426951	10019	7	0.269391	0.002691			
All Reads	ALL	83	351300	7513	7	0.245512	0.002832			
All Reads	ALL	84	272651	5348	7	0.225176	0.003079			
All Reads	ALL	85	197877	3658	7	0.21222	0.003509			
All Reads	ALL	86	132088	2519	7	0.218929	0.004362			
All Reads	ALL	87	86165	1820	7	0.242481	0.005684			
All Reads	ALL	88	59409	1099	6	0.212365	0.006406			
All Reads	ALL	89	38378	723	6	0.216269	0.008043			
All Reads	ALL	90	25093	459	7	0.20999	0.009801			
All Reads	ALL	91	16061	257	6	0.183695	0.011459			
All Reads	ALL	92	9569	153	7	0.183553	0.014839			
All Reads	ALL	93	6011	87	6	0.166154	0.017814			
All Reads	ALL	94	3424	40	7	0.134111	0.021205			
All Reads	ALL	95	1675	16	6	0.109659	0.027415			
All Reads	ALL	96	986	5	7	0.058214	0.026034			
All Reads	ALL	97	658	2	4	0.034893	0.024673			
All Reads	ALL	98	328	3	1	0.104999	0.060621			
All Reads	ALL	99	133	0	0	0	0			
All Reads	ALL	100	339	0	0	0	0			
All Reads	UNIQUE	0	133597	2196	19	0.188701	0.004027			
All Reads	UNIQUE	1	97008	2381	19	0.281767	0.005774			
All Reads	UNIQUE	2	113086	3217	18	0.326573	0.005758			
All Reads	UNIQUE	3	144366	4410	18	0.35068	0.005281			
